scenario,utilization,subgroup,n_seeds,mean_wait_avg,mean_wait_ci_lo,mean_wait_ci_hi,P90_avg,P90_ci_lo,P90_ci_hi,P95_avg,P95_ci_lo,P95_ci_hi
hybrid,1.0,A,30,0.10687956544637456,0.10126809308156397,0.11232232807670381,0.0,0.0,0.0,0.5483333333333272,0.3633333333333212,0.714999999999994
hybrid,1.0,B,30,0.054763557053388076,0.05110038526158057,0.05884351225041087,0.0,0.0,0.0,0.0,0.0,0.0
hybrid,1.1,A,30,0.11844705139243267,0.11311624741658281,0.12381057095138305,0.0,0.0,0.0,0.7333333333333333,0.5666666666666667,0.8666666666666667
hybrid,1.1,B,30,0.07779932645686714,0.07238172975653584,0.08336351055372761,0.0,0.0,0.0,0.0,0.0,0.0
hybrid,1.2,A,30,0.11596697344010483,0.10716370205963889,0.1250025633124812,0.0,0.0,0.0,0.7116666666666637,0.5666666666666667,0.8666666666666667
hybrid,1.2,B,30,0.0898564128101724,0.08356700268279398,0.09672101999669061,0.0,0.0,0.0,0.06666666666666667,0.0,0.16666666666666666
