scenario,utilization,subgroup,n_seeds,mean_wait_avg,mean_wait_ci_lo,mean_wait_ci_hi,P90_avg,P90_ci_lo,P90_ci_hi,P95_avg,P95_ci_lo,P95_ci_hi
baseline,1.0,A,30,0.11405853617359,0.1070952087141346,0.12147744039647924,0.0,0.0,0.0,0.6316666666666606,0.4649999999999939,0.7967083333333214
baseline,1.0,B,30,0.053670764185585806,0.048967163149465455,0.058583734131693294,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1.1,A,30,0.12113544817981516,0.11433781298638013,0.1283186692512236,0.0,0.0,0.0,0.7016666666666425,0.5499999999999848,0.8433333333333243
baseline,1.1,B,30,0.08068615143433822,0.07641691867471205,0.08563329655078346,0.0,0.0,0.0,0.03333333333333333,0.0,0.1
baseline,1.2,A,30,0.11639529076696964,0.11002062802587113,0.12350461184577421,0.0,0.0,0.0,0.7233333333333273,0.5664166666666666,0.8702499999999818
baseline,1.2,B,30,0.08634124336404851,0.08129028236547883,0.09098579114355333,0.0,0.0,0.0,0.03333333333333333,0.0,0.1
